paragraph_id,original_probability,after_ai_ism_removal,after_top_attribution_removal,ai_ism_probability_change,attribution_probability_change
pride_and_prejudice_TFamil_P21,0.999840259552002,0.999840259552002,0.9989160299301147,0.0,-0.000924229621887207
pride_and_prejudice_TFamil_P48,0.9999059438705444,0.9999059438705444,0.9996076226234436,0.0,-0.0002983212471008301
pride_and_prejudice_TReput_P18,0.9979751706123352,0.9979751706123352,0.9859538674354553,0.0,-0.012021303176879883
pride_and_prejudice_TPride_P13,0.9951801300048828,0.9951801300048828,0.8945527076721191,0.0,-0.10062742233276367
pride_and_prejudice_TReput_P10,0.9996923208236694,0.9996923208236694,0.9946370720863342,0.0,-0.005055248737335205
pride_and_prejudice_TReput_P39,0.5402810573577881,0.5402810573577881,0.8031261563301086,0.0,0.26284509897232056
pride_and_prejudice_TReput_P38,0.6864129900932312,0.6864129900932312,0.5655587911605835,0.0,-0.1208541989326477
pride_and_prejudice_TFamil_P16,0.8293605446815491,0.8293605446815491,0.591191828250885,0.0,-0.23816871643066406
pride_and_prejudice_TReput_P28,0.8714667558670044,0.8714667558670044,0.574543833732605,0.0,-0.2969229221343994
pride_and_prejudice_TPride_P7,0.7743801474571228,0.7743801474571228,0.38905999064445496,0.0,-0.38532015681266785
