paragraph_id,top_1_share,top_5_share,top_10_share,top_20_share,total_tokens
pride_and_prejudice_TFamil_P16,0.17394934963007685,0.5253755772423196,0.7762579258496518,0.9647877589222144,29
pride_and_prejudice_TFamil_P21,0.18337177218065556,0.40615569847413785,0.5578173264869875,0.7469242550409816,67
pride_and_prejudice_TFamil_P48,0.1430315733459579,0.3844141793815624,0.5520243153480412,0.7148272153432771,155
pride_and_prejudice_TPride_P13,0.22844147002750917,0.5176771671313103,0.7025608496062365,0.898089370443667,35
pride_and_prejudice_TPride_P7,0.18462000648888932,0.5073742563401169,0.7586398286505993,1.0000000000000002,20
pride_and_prejudice_TReput_P10,0.0743219057866082,0.23271031774303744,0.33446418374662823,0.4800142092781954,123
pride_and_prejudice_TReput_P18,0.20171468506424628,0.4428480903364081,0.5753900222803165,0.7271798162241231,84
pride_and_prejudice_TReput_P28,0.29577433128404795,0.6069500073322022,0.7522964965429382,0.9116157815363097,39
pride_and_prejudice_TReput_P38,0.3353535884445894,0.7865842062833535,0.9852478951194746,1.0,11
pride_and_prejudice_TReput_P39,0.12542462948484984,0.41245328072856785,0.6281726342211769,0.8803045470398134,38
