paragraph_id,label,number_of_sentences,mean_sentence_length,median_sentence_length,standard_deviation_sentence_length,coefficient_of_variation_sentence_length,minimum_sentence_length,maximum_sentence_length,mean_word_length,median_word_length,standard_deviation_word_length
pride_and_prejudice_TFamil_P35,AI,5,18.6,15.0,12.563439019631527,0.6754537107328777,4,39,5.182795698924731,4.0,2.9327451874660295
pride_and_prejudice_TFamil_P36,Human,3,29.333333333333332,25.0,13.02134998974974,0.4439096587414684,16,47,4.75,4.0,2.5056753762028094
pride_and_prejudice_TFamil_P36,AI,3,28.0,28.0,11.430952132988164,0.408248290463863,14,42,4.976190476190476,4.0,2.764469252755962
pride_and_prejudice_TFamil_P37,Human,6,18.666666666666668,13.5,12.133516482134196,0.6500098115429033,6,38,4.1875,3.0,2.1569292408421745
pride_and_prejudice_TFamil_P37,AI,6,18.0,13.5,12.069244660154448,0.6705135922308026,6,40,4.37037037037037,4.0,2.238520479446159
pride_and_prejudice_TFamil_P38,Human,6,6.166666666666667,6.0,3.9334745737353156,0.637860741686808,1,14,4.361111111111111,4.0,2.4961389938349208
pride_and_prejudice_TFamil_P38,AI,5,6.8,6.0,4.261455150532504,0.6266845809606623,1,14,4.212121212121212,3.0,2.3193203779578733
pride_and_prejudice_TFamil_P39,Human,1,13.0,13.0,0.0,0.0,13,13,4.538461538461538,4.0,2.2400338120863132
pride_and_prejudice_TFamil_P39,AI,1,13.0,13.0,0.0,0.0,13,13,4.769230769230769,4.0,2.325571762743227
pride_and_prejudice_TFamil_P40,Human,3,15.0,20.0,10.03327796219494,0.6688851974796627,1,24,4.0,4.0,2.2763607319179844
pride_and_prejudice_TFamil_P40,AI,3,14.666666666666666,20.0,9.741092797468305,0.6641654180092026,1,23,3.953488372093023,4.0,2.2199255002384604
pride_and_prejudice_TFamil_P41,Human,1,11.0,11.0,0.0,0.0,11,11,4.818181818181818,4.0,1.849726359034164
